FID;Object_ID;Latitude;Longitude;Site_Name;Data_Numbe;Codes;Elevation;minD;maxD;No__Temps;Gradient;No__Cond_;Conductivi;No_Heat_Pr;Heat_Prod_;Heat_Flow;No__sites;Year_of_Pu;Reference;Comments;F21;F22;F23;F24;F25;F26;ben;europe
268;5596.000000000000000;0.626700000000000;-86.088300000000004;KN4.8;6193.000000000000000; ;-2698.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;360.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
269;5597.000000000000000;1.010000000000000;-86.185000000000002;KN5.1;6194.000000000000000; ;-2781.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;268.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
270;5598.000000000000000;0.983300000000000;-86.176699999999997;KN5.2;6195.000000000000000; ;-2831.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;159.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
271;5599.000000000000000;0.965000000000000;-86.176699999999997;KN5.3;6196.000000000000000; ;-2711.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;134.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
272;5600.000000000000000;0.950000000000000;-86.176699999999997;KN5.4;6197.000000000000000; ;-2685.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;297.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
273;5601.000000000000000;0.930000000000000;-86.183300000000003;KN5.5;6198.000000000000000; ;-2715.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;460.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
274;5602.000000000000000;0.918300000000000;-86.186700000000002;KN5.6;6199.000000000000000; ;-2724.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;360.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
275;5603.000000000000000;0.906700000000000;-86.183300000000003;KN5.7;6200.000000000000000; ;-2681.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;573.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
276;5604.000000000000000;0.898300000000000;-86.183300000000003;KN5.8;6201.000000000000000; ;-2717.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;63.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
277;5605.000000000000000;0.881700000000000;-86.178299999999993;KN5.9;6202.000000000000000; ;-2715.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;209.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
